AccountReference,Farm,Farm_Name,Field_ID,Field_Name,Contour_ID,Crop_Type,LY_Crop_Type_MAP,DrillingDate,Soil_Type,Variety,Field Ha,Total Yield,ProductName,Applied date,Quantity kg,kg CO2/kg fert,kg CO2/application,Field fert total kg CO2,Fert kg CO2/t grain
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,44,Hillwood-,535,Wheat Winter,NULL,26/10/2021,Medium Chalk,KWS Extase,13,111.8,MOP 60%,13/04/2022,1455.92,0.28,408,3375,30.19
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,46,Baskervilles,536,Barley Spring,Spring Barley,22/03/2022,Medium Chalk,Laureate,11,71.84,18-46-00 Di Ammonium Phosphate,22/03/2022,1066.67,0.6981,745,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,46,Baskervilles,536,Barley Spring,Spring Barley,22/03/2022,Medium Chalk,Laureate,11,71.84,Liquid 30N,02/05/2022,2486,1.06,2635,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,46,Baskervilles,536,Barley Spring,Spring Barley,22/03/2022,Medium Chalk,Laureate,11,71.84,MOP 60%,19/04/2022,545.97,0.28,153,3533,49.17
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,21,Hangmans Hill,537,Rape Winter,Spring Barley,18/08/2021,Shallow Chalk,Acacia,13,55.77,18-46-00 Di Ammonium Phosphate,18/08/2021,1647.06,0.6981,1150,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,21,Hangmans Hill,537,Rape Winter,Spring Barley,18/08/2021,Shallow Chalk,Acacia,13,55.77,Ammonium Sulphate,26/02/2022,1625,0.6,975,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,21,Hangmans Hill,537,Rape Winter,Spring Barley,18/08/2021,Shallow Chalk,Acacia,13,55.77,MOP 60%,25/03/2022,1546.92,0.28,433,2558,45.87
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,48,Hill Bottom,538,Barley Spring,Winter Wheat,22/03/2022,Medium Chalk,Laureate,13,104.91,18-46-00 Di Ammonium Phosphate,22/03/2022,1260.61,0.6981,880,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,48,Hill Bottom,538,Barley Spring,Winter Wheat,22/03/2022,Medium Chalk,Laureate,13,104.91,Liquid 30N,02/05/2022,2922,1.06,3097,3977,37.91
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,37,Hilltop.,539,Wheat Winter,Winter Wheat,16/10/2021,Medium Chalk,Skyfall,16,161.28,Liquid 30N,02/05/2022,2409,1.06,2554,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,37,Hilltop.,539,Wheat Winter,Winter Wheat,16/10/2021,Medium Chalk,Skyfall,16,161.28,Nitram,18/05/2022,3000,1.25,3750,6304,39.08
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,39,Georges Field,541,Wheat Winter,Spring Beans,17/10/2021,Shallow Chalk,Skyfall,30,339,Liquid 30N,02/05/2022,4440,1.06,4706,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,39,Georges Field,541,Wheat Winter,Spring Beans,17/10/2021,Shallow Chalk,Skyfall,30,339,Nitram,18/05/2022,5400,1.25,6750,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,39,Georges Field,541,Wheat Winter,Spring Beans,17/10/2021,Shallow Chalk,Skyfall,30,339,MOP 60%,13/04/2022,727.96,0.28,204,11660,34.4
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,49,Jones Field,542,Barley Spring,Winter Wheat,24/03/2022,Shallow Chalk,Laureate,25,205.75,18-46-00 Di Ammonium Phosphate,24/03/2022,3781.82,0.6981,2640,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,49,Jones Field,542,Barley Spring,Winter Wheat,24/03/2022,Shallow Chalk,Laureate,25,205.75,Liquid 30N,02/05/2022,5400,1.06,5724,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,49,Jones Field,542,Barley Spring,Winter Wheat,24/03/2022,Shallow Chalk,Laureate,25,205.75,MOP 60%,19/04/2022,3548.82,0.28,994,9358,45.48
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,22,Rooksbury-,543,Rape Winter,Winter Barley,20/08/2021,Shallow Chalk,Aurelia,11,44.99,18-46-00 Di Ammonium Phosphate,20/08/2021,1174.83,0.6981,820,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,22,Rooksbury-,543,Rape Winter,Winter Barley,20/08/2021,Shallow Chalk,Aurelia,11,44.99,Ammonium Sulphate,26/02/2022,1375,0.6,825,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,22,Rooksbury-,543,Rape Winter,Winter Barley,20/08/2021,Shallow Chalk,Aurelia,11,44.99,MOP 60%,25/03/2022,682.76,0.28,191,1836,40.82
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,18,Church Field,544,Rape Winter,Winter Barley,13/08/2021,Shallow Chalk,Aurelia,31,105.71,18-46-00 Di Ammonium Phosphate,13/08/2021,3524.48,0.6981,2460,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,18,Church Field,544,Rape Winter,Winter Barley,13/08/2021,Shallow Chalk,Aurelia,31,105.71,Ammonium Sulphate,26/02/2022,3875,0.6,2325,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,18,Church Field,544,Rape Winter,Winter Barley,13/08/2021,Shallow Chalk,Aurelia,31,105.71,MOP 60%,25/03/2022,3457.82,0.28,968,5754,54.43
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,45,Hills,545,Wheat Winter,Winter Wheat,28/10/2021,Medium Chalk,KWS Extase,17,186.83,Nitram,10/05/2022,3104.35,1.25,3880,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,45,Hills,545,Wheat Winter,Winter Wheat,28/10/2021,Medium Chalk,KWS Extase,17,186.83,MOP 60%,13/04/2022,1455.92,0.28,408,4288,22.95
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,29,Mildenhalls,546,Barley Winter,Winter Wheat,08/10/2021,Shallow Chalk,Belfry,23,207,Ammonium Sulphate,05/03/2022,1700,0.6,1020,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,29,Mildenhalls,546,Barley Winter,Winter Wheat,08/10/2021,Shallow Chalk,Belfry,23,207,Nitram,18/03/2022,4800,1.25,6000,,
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,29,Mildenhalls,546,Barley Winter,Winter Wheat,08/10/2021,Shallow Chalk,Belfry,23,207,MOP 60%,13/04/2022,3608.87,0.28,1010,8030,38.79
LAWT0005|CHAS0002|KING0033|KING0034,1,Aldbourne Chase,27,27 Acres 16,3776,Barley Winter,Winter Wheat,08/10/2021,Medium Chalk,SY Kingsbarn,11,91.52,Ammonium Sulphate,05/03/2022,800,0.6,480,,
